Draft_Yr,Pk,Tm,Player,College,seasons,Field_Goal_Percentage ,3points_Field_Goal_Percentage ,Free_Throw_Percentage,Minutes_Played_Per_Game,Points_Per_Game ,Total_Rebounds_per_Game ,Assist_Per_Game ,WS,WS/48,BPM,VORP
1970,120,SDR,Don Adams,Northwestern University,5,0.402,,0.739,25.5,8.7,5.6,1.8,10.6,0.041,-1.9,0.2
1970,122,DET,Dan Issel,University of Kentucky,9,0.506,0.253,0.797,31.1,20.4,7.9,2.5,82.3,0.177,1.9,22
1970,129,PHO,Steve Patterson,"University of California, Los Angeles",5,0.403,,0.594,15.9,4.4,4.7,1.3,4.8,0.041,-1.6,0.4
1970,133,ATL,Herb White,University of Georgia,1,0.405,,0.564,8.3,2.4,1.3,1.2,0.1,0.013,,
1970,136,NYK,Greg Fillmore,Cheyney University of Pennsylvania,2,0.403,,0.467,6.9,2.4,2.2,0.4,0.3,0.044,,
1970,155,SFW,Coby Dietrick,San Jose State University,7,0.468,0.188,0.741,19.3,6.1,3.9,2.1,15.5,0.08,0.1,5
1970,205,DET,Randy Smith,State University of New York College at Buffalo,12,0.47,0.155,0.781,32.2,16.7,3.7,4.6,60.1,0.092,0.9,19.6
1971,1,CLE,Austin Carr,University of Notre Dame,10,0.449,0.154,0.804,28.8,15.4,2.9,2.8,32.9,0.08,-1,4
1971,2,POR,Sidney Wicks,"University of California, Los Angeles",10,0.459,0,0.685,33.9,16.8,8.7,3.2,42.4,0.079,0.6,12.9
1971,3,BUF,Elmore Smith,Kentucky State University,8,0.482,,0.579,31.8,13.4,10.6,1.4,34.7,0.093,0.3,7
1971,4,CIN,Ken Durrett,La Salle University,4,0.434,,0.637,10,4,1.9,0.5,0.6,0.025,-5.7,-0.9
1971,5,ATL,George Trapp,"California State University, Long Beach",6,0.444,,0.752,18.1,8.8,3.9,1,8.4,0.059,-3.8,-1.9
1971,6,SEA,Fred Brown,University of Iowa,13,0.478,0.373,0.858,25.4,14.6,2.7,3.3,63.2,0.124,1,16.6
1971,7,HOU,Cliff Meely,University of Colorado,5,0.417,,0.675,19.9,8.4,5.4,1.3,4.6,0.035,-3.7,-1.2
1971,8,GSW,Darnell Hillman,San Jose State University,4,0.466,,0.592,23,8.6,6.6,1.4,9.9,0.072,-0.8,2.1
1971,9,BAL,Stan Love,University of Oregon,3,0.44,,0.751,15.2,6.8,4,0.8,5.5,0.076,-3.7,-0.5
1971,10,BOS,Clarence Glover,Western Kentucky University,1,0.455,,0.469,4.8,2.6,1.8,0.2,0.3,0.103,,
1971,11,DET,Curtis Rowe,"University of California, Los Angeles",8,0.482,,0.701,31,11.6,7.2,1.6,34.1,0.09,-1.4,2
1971,13,LAL,Jim Cleamons,Ohio State University,9,0.46,0.226,0.765,26.1,8.3,3,3.9,29.1,0.082,0.1,8
1971,14,PHO,John Roche,University of South Carolina,3,0.468,0.389,0.819,21.3,8.4,1.1,4,5.4,0.075,-3.4,-1.2
1971,15,CHI,Kenny McIntosh,Eastern Michigan University,4,0.361,,0.581,20.9,5.3,3.9,1,-1.5,-0.02,-4.5,-1.4
1971,16,NYK,Dean Meminger,Marquette University,6,0.475,,0.627,20.6,6.1,2.6,2.5,16.6,0.093,-0.4,2.4
1971,18,CLE,Steve Patterson,"University of California, Los Angeles",5,0.403,,0.594,15.9,4.4,4.7,1.3,4.8,0.041,-1.6,0.4
1971,19,BUF,Fred Hilton,Grambling State University,2,0.388,,0.749,17.3,9.4,2.1,1.6,-3.5,-0.08,,
1971,21,CIN,John Mengelt,Auburn University,10,0.479,0,0.809,20.1,9.8,1.9,2.1,27.9,0.105,-2.1,-0.4
1971,22,ATL,Ted McClain,Tennessee State University,3,0.447,,0.786,19.6,5.9,2.3,3,4,0.055,-2,0
1971,23,SEA,Jim McDaniels,Western Kentucky University,3,0.402,,0.703,14.7,5.3,4.4,0.9,0.7,0.012,-4.7,-0.9
1971,24,HOU,Mike Newlin,University of Utah,11,0.466,0.302,0.87,29.4,14.9,3,4,50.4,0.098,-0.2,9.3
1971,25,POR,Charlie Yelverton,Fordham University,1,0.389,,0.707,17.8,7.9,2.9,1.2,-0.5,-0.018,,
1971,29,DET,Isaiah Wilson,University of Baltimore,1,0.356,,0.732,6.7,3.5,1,0.9,-0.5,-0.074,,
1971,30,BUF,Spencer Haywood,University of Detroit Mercy,12,0.465,0.125,0.8,33.7,19.2,9.3,1.8,61.4,0.115,-0.8,5.5
1971,32,CHI,Howard Porter,Villanova University,7,0.469,,0.802,18.7,9.2,4.1,0.5,17.6,0.099,-3.8,-3.4
1971,37,POR,Larry Steele,University of Kentucky,9,0.483,0,0.796,24.2,8.2,2.9,2.8,28.2,0.091,0.7,8.2
1971,39,ATL,Jeff Halliburton,Drake University,2,0.44,,0.814,11.7,6.1,1.6,1.3,1.4,0.061,,
1971,40,CHI,Clifford Ray,University of Oklahoma,10,0.524,0,0.588,25.4,7.4,8.9,2.2,56.7,0.136,1.8,15.5
1971,41,CLE,Jackie Ridgle,University of California,1,0.432,,0.731,3.3,1.8,0.5,0.2,0.2,0.102,,
1971,42,POR,William Smith,Syracuse University,2,0.431,,0.597,16.4,6.8,4.8,0.7,0.1,0.014,,
1971,43,BAL,Rich Rinaldi,Saint Peter's College,2,0.393,,0.724,10.8,5,1.2,0.9,0.2,0.012,-8.6,-0.1
1971,44,BOS,Dave Robisch,University of Kansas,8,0.457,0,0.814,20.8,8.7,5.2,1.6,23.5,0.107,-0.7,3.4
